"winner","winner_seeding","winner_flag","loser","loser_seeding","loser_flag","score","round","year","winner_country","loser_country","winner_type","loser_type"
"Jimmy Wang",,"TPE","Alejandro Gonzalez",,"COL","63 63 62","Round of 128",2014,"Chinese Taipei","Colombia","qualifier",
"Jiri Vesely",,"CZE","Victor Estrella Burgos",,"DOM","51 (RET)","Round of 128",2014,"Czech Republic","Dominican Republic","wildcard",
"Bernard Tomic",,"AUS","Evgeny Donskoy",,"RUS","64 63 62","Round of 128",2014,"Australia","Russia",,
"Radek Stepanek",,"CZE","Pablo Cuevas",,"URU","62 64 64","Round of 128",2014,"Czech Republic","Uruguay",,
"Sergiy Stakhovsky",,"UKR","Carlos Berlocq",,"ARG","63 63 63","Round of 128",2014,"Ukraine","Argentina",,
"Jack Sock",,"USA","Pierre-Hugues Herbert",,"FRA","675 62 765 64","Round of 128",2014,"United States","France",,"qualifier"
"Gilles Simon",,"FRA","Konstantin Kravchuk",,"RUS","62 764 75","Round of 128",2014,"France","Russia",,"qualifier"
"Luke Saville",,"AUS","Dominic Thiem",,"AUT","75 64 36 64","Round of 128",2014,"Australia","Austria","qualifier",
"Lukas Rosol",,"CZE","Benoit Paire",,"FRA","63 36 765 64","Round of 128",2014,"Czech Republic","France",,
"Blaz Rola",,"SLO","Pablo Andujar",,"ESP","63 61 64","Round of 128",2014,"Slovenia","Spain",,
"Edouard Roger-Vasselin",,"FRA","Filippo Volandri",,"ITA","761 62 64","Round of 128",2014,"France","Italy",,
"Julian Reister",,"GER","Michael Russell",,"USA","64 64 675 46 75","Round of 128",2014,"Germany","United States",,
"Sam Querrey",,"USA","Bradley Klahn",,"USA","675 64 61 75","Round of 128",2014,"United States","United States",,
"Tim Puetz",,"GER","Teymuraz Gabashvili",,"RUS","26 64 62 62","Round of 128",2014,"Germany","Russia","qualifier",
"Ante Pavic",,"CRO","Alejandro Falla",,"COL","64 63 75","Round of 128",2014,"Croatia","Colombia","qualifier",
"Jarkko Nieminen",,"FIN","Federico Delbonis",,"ARG","63 763 75","Round of 128",2014,"Finland","Argentina",,
"Gilles Muller",,"LUX","Julien Benneteau",,"FRA","64 766 765","Round of 128",2014,"Luxembourg","France","qualifier",
"Adrian Mannarino",,"FRA","Pere Riba",,"ESP","62 63 64","Round of 128",2014,"France","Spain",,
"Yen-Hsun Lu",,"TPE","Aleksandr Nedovyesov",,"KAZ","64 46 64 16 61","Round of 128",2014,"Chinese Taipei","Kazakhstan",,
"Nick Kyrgios",,"AUS","Stephane Robert",,"FRA","762 761 676 62","Round of 128",2014,"Australia","France","wildcard",
"Andrey Kuznetsov",,"RUS","Daniel Evans",,"GBR","61 75 36 765","Round of 128",2014,"Russia","Great Britain",,"wildcard"
"Mikhail Kukushkin",,"KAZ","Dudi Sela",,"ISR","64 64 64","Round of 128",2014,"Kazakhstan","Israel",,
"Denis Kudla",,"USA","Marsel Ilhan",,"TUR","763 64 46 75","Round of 128",2014,"United States","Turkey","qualifier","qualifier"
"Lukasz Kubot",,"POL","Jan-Lennard Struff",,"GER","766 64 64","Round of 128",2014,"Poland","Germany",,
